group,category,count
total,all,144265
language,Roman Urdu,73000
language,Pashto,34400
language,English,24783
language,Urdu,12082
label,offensive,85161
label,non-offensive,59104
split,train,100986
split,validation,14426
split,test,28853

language,label,count
Roman Urdu,offensive,43000
Roman Urdu,non-offensive,30000
Pashto,offensive,20200
Pashto,non-offensive,14200
English,offensive,14500
English,non-offensive,10283
Urdu,offensive,7461
Urdu,non-offensive,4621
